TRAINING
accomplish accomplishment
unify unit
haul hauling
disrupt disruption
reshuffle reshuffling
hijack hijacking
encase encasement
bust buster
signal signaling
breathe breather
opt option
subordinate subordination
prostrate prostration
espouse espousal
arbitrate arbitrator
acquaint acquaintance
twitch twitching
personify persona
double doubling
alter alteration
fit fitting
constrict constrictor
conduct conduction
meet meeting
invest investor
throb throbbing
go goer
scout scouting
run runner
stalk stalking
overlap overlapping
tabulate tabulation
melt melting
gyrate gyration
substitute substituting
scatter scattering
dump dumping
rediscover rediscovery
pace pacing
roar roaring
simulate simulator
sing singer
stall stalling
ventilate ventilation
intensify intensification
dignify dignity
repulse drive
pacify peace
buff buffer
parent parentage
fabricate fabricator
portray portraitist
condemn condemnation
swing swinging
reserve reservation
dominate domination
deprecate deprecation
decide deciding
darken darkening
whir whirring
mean meaning
disobey disobedience
racketeer racketeering
space spacing
tack tacking
juggle juggling
steal stealing
stain staining
admire admiration
divide divider
transmit transmitting
press pressing
lean leaner
repulse repulsion
elect elector
disappear disappearing
sheet sheeting
terrify terror
impeach impeachment
highlight highlighting
forge forgery
toy toying
consist consistence
salve salvage
proceed proceedings
litigate litigation
assign assignment
breathe breathing
scaffold scaffolding
enter entree
connive connivance
marry married
track tracking
extract expression
equip equipping
develop developer
flame flaming
duck ducking
confer conference
soak soaker
restore restoration
disperse dispersion
abhor abhorrence
combine combination
reveal revelation
equate equal
prevail prevalence
jump jumping
propel propulsion
emasculate emasculation
honor honoring
suffer sufferer
persist persistence
present presenter
observe observation
screen screener
process processing
rule ruler
immerse immersion
grasp grasping
shed shedding
lay layer
decay decadent
kneel kneeling
connect connector
trump trumping
stop stoppage
abstract abstraction
misappropriate misappropriation
mingle mingling
subsist subsistence
turn turner
keep keeping
corroborate corroboration
preach preaching
mutilate mutilation
flirt flirtation
game gaming
beatify beatification
advocate advocacy
differentiate differentiation
conceal concealment
respond respondent
quiver quivering
electrify electrification
forfeit forfeiture
finish finisher
stock stocking
prevent prevention
calibrate caliber
sting stinging
readjust readjustment
perform performing
play playing
chop chopper
withdraw withdrawal
drink drinking
confiscate confiscation
pair pairing
differ difference
hear hearing
revive revival
mend mending
militarize military
contract contractor
connect connection
adopt adoption
merchandise merchandising
condition conditioning
moderate moderator
overstate overstatement
marginalize marginalization
mutate mutation
quantify quantification
substantiate substantiation
tow towage
cede cession
abstain abstinent
supervise supervision
simmer simmering
spin spinning
abolish abolishment
obsess obsession
chicane chicanery
read reading
reinterpret reinterpretation
restrain restraint
reunify reunion
continue continuation
impart imparting
stimulate stimulation
ape aper
exemplify example
dismember dismemberment
ache aching
pipe piper
recuse recusal
heat heating
beat beater
back backing
bound boundary
publicize publicist
brew brewer
intersect intersection
injure injury
assimilate assimilation
congratulate congratulation
define definition
necessitate necessity
thwart thwarting
open opening
reminisce reminiscence
measure measuring
raise raising
overproduce overproduction
ventilate ventilator
fuse fusion
tune tuning
disappear disappearance
appeal appellant
correspond correspondence
pare paring
undervalue undervaluation
tap tapper
lie lying
sit sitter
audit auditor
reelect reelection
invert inversion
dirty dirtying
bat batter
spoil spoiling
explore exploration
ooze oozing
press pressure
skip colloquialism
shrink shrinkage
seize seizing
bid bidding
bank banking
visit visitor
perform performance
slug slugger
proliferate proliferation
examine examination
qualify qualifier
capitalize capitalization
etch etching
communicate communicator
frighten frightening
chatter chattering
tamper tampering
designate designation
start starting
depict picture
wreck wreckage
speak speech
void voiding
abuse abuser
innovate innovation
acknowledge acknowledgment
date dating
map mapping
pray prayer
prepare preparation
procure procurer
enjoin injunction
estimate estimator
pressurize pressure
tank tankage
smooth smoother
score scoring
extract extractor
cater caterer
top topper
compress compression
create creator
coexist coexistence
congregate congregating
emulate emulator
shock shocker
socialize socialization
conceive concept
tour tourist
teach teaching
field fielder
cook cooking
supervise supervisor
impede impediment
whirl whirling
devastate devastation
ruin ruining
concur concurrence
gather gatherer
accede accession
simulate simulation
permit permission
converge convergence
accrue accrual
convene convener
intercede intercession
wash washing
illuminate illumination
characterize characterization
insulate insulation
decompose decomposition
sift sieve
face facing
restrict restriction
amalgamate amalgam
participate participation
dub dubbing
fence fencing
dedicate dedication
heave heaving
signify significance
confuse confusion
curb check
remain continuation
repel repellent
heckle heckling
produce production
assure assurance
group grouping
punch puncher
treat treatment
concentrate concentration
sedate sedation
withhold withholding
experiment experimentation
clip clipper
worry worrying
arraign arraignment
accommodate accommodation
prescribe prescription
break breaker
pursue pursuit
market marketer
mystify puzzle
incorporate incorporation
evolve evolution
retain retention
moderate moderation
liquidate liquidation
plunder plundering
vibrate vibration
let letter
weave weaver
negotiate negotiator
denude denudation
inherit inheritance
diversify diversification
portray portrait
admit admittance
throw thrower
descend descent
announce announcer
evaporate vapor
instigate instigation
golf golfing
putt putting
help helping
hang hanger
gravitate gravitation
outfit outfitting
trim trimming
maximize maximization
portend portent
dock docking
guess guessing
supply supplier
converse conversation
admonish admonition
weigh weighing
bear bearer
bellow bellowing
infiltrate infiltrator
derail derailment
unfold unfolding
mill milling
commit commission
scream screamer
infringe infringement
solidify solid
convict conviction
extinguish extinguisher
dangle dangling
hit hitting
tease teasing
commemorate commemoration
send sending
heat heater
relinquish relinquishing
invent inventor
interpret interpreter
weep weeping
inactivate inactivation
lighter lighterage
send sender
bleed bleeding
represent representation
contradict contradiction
rent rental
reassess reassessment
signify sign
flee flight
flavor flavoring
limit limiter
suspect suspicion
trek trekker
attend attendant
enter entry
resemble resemblance
carbonate carbon
obliterate obliteration
dose dosage
fork forking
spend spender
compare comparing
sue suit
hike hiker
preside president
circumvent circumvention
type typing
lend lender
perceive perception
joke joker
stay stayer
support supporter
quote quotation
legislate legislator
learn learner
depopulate depopulation
oust ousting
segregate segregation
fly flying
vomit vomiting
precede precedence
impose imposition
school schooling
console consolation
magnify magnification
discontinue discontinuance
point pointer
escalate escalation
explode explosion
wither withering
refresh refresher
flirt flirting
excel excellence
indulge indulgence
field fielding
blow blowing
accord accordance
give giver
trail trailing
cross crossing
reside residence
erode erosion
decompress decompression
preserve preserver
tie tying
view viewer
recite recitation
anticipate foreboding
vary variation
commune communion
recur recurrence
purify purification
erect erecting
attain attainment
improve improvement
underpay underpayment
prohibit prohibition
redevelop redevelopment
remit remittance
tax taxation
chant chanting
absent absentee
contaminate contaminant
invoke invocation
renounce renunciation
deposit depositor
hesitate hesitation
refurbish refurbishment
transit transition
immobilize immobilization
stamp stamper
lug luggage
kick kicker
parole parolee
convert conversion
emit emission
till tiller
wean weaning
addict addiction
earn earner
renovate renovation
sprinkle sprinkling
immobilize immobilizing
submerge submersion
shun shunning
evaluate evaluator
settle settlement
enjoin enjoining
exclaim exclaiming
crow crowing
soak soaking
mix mixing
analyze analyzer
sub subbing
tolerate tolerance
miscalculate miscalculation
cheat cheating
apply application
organize organization
indicate indication
slow slowing
inscribe inscription
photograph photographer
continue continuance
absolve absolution
refresh refreshment
war warrior
incline inclination
polish polisher
persuade persuasion
exercise exercising
roast roasting
bore borer
solder soldering
abdicate abdication
fortify fort
adjudicate judge
receive recipient
mine mining
testify testimony
acclimate climate
lobby lobbyist
invest investment
round rounder
resign resignation
cruise cruiser
tip tipper
stabilize stabilizer
compress compressor
touch touching
clarify clarification
promulgate promulgation
dissolve dissolution
confide confidence
shake shaking
claim claimant
enrich enrichment
apportion apportionment
TUNING
enhance enhancer
see seer
cleave cleft
mark marker
ranch rancher
temper temperance
complain complaint
extradite extradition
paper papering
mystify puzzlement
get getting
jog jogging
remain remainder
invalidate invalidation
augment augmentation
elaborate elaboration
introduce introduction
erupt eruption
make making
teach teacher
fill filler
damp damper
care caring
finish finishing
disturb disturbance
commentate comment
coat coating
strew strewing
tabulate table
skip skipper
examine examiner
encroach encroachment
oxygenate oxygenation
wrap wrapping
quantify quantity
solo soloist
test tester
own owner
gossip gossiping
notify notification
try trial
instruct instruction
shorten shortening
bound bounder
synchronize synchronization
comprehend comprehension
land landing
incriminate crime
rotate rotation
consist consistency
subsidize subsidization
orchestrate orchestrator
deflate deflation
bake baking
bloom bloomer
enlist enlistment
dispense dispensary
manage management
project projector
digitize digit
oust ouster
authorize authorization
swab swabbing
adapt adaptation
impound impounding
furnish furniture
retry retrial
snip snipping
interrogate interrogator
wail wailing
breed breeding
delete deletion
mow mower
down downer
pave pavement
misstate misstatement
correspond correspondent
sense sensation
administer administration
interlock interlocking
immigrate immigration
mistake mistaking
bear bearing
swear swearing
preoccupy preoccupation
cook cooker
yawn yawning
disband disbandment
inflame inflammation
publish publishing
radiate radiator
arouse arousal
hiss hissing
rustle rustling
distribute distribution
grind grinding
conduct conducting
matriculate matriculation
founder foundering
waste wasting
full fuller
presuppose presupposition
mobilize mobilization
progress progression
undress strip
freelance freelancer
discriminate discrimination
crackle crackling
assess assessor
provide provider
index indexing
railroad railroading
sound sounder
join joining
forestall forestalling
retake retaking
fabricate fabrication
study studying
count counting
captivate captive
collaborate collaboration
adjourn adjournment
proceed procession
participate participant
reconsider reconsideration
vacation vacationing
elect election
puzzle puzzlement
differentiate difference
retrain retraining
lever leverage
strike striker
waterproof waterproofing
compile compilation
scan scanning
inspect inspection
relax relaxation
smuggle smuggler
scrape scraping
weld welder
suspend suspension
convey conveyance
trace tracer
enter entering
isolate isolation
select selector
demonstrate demonstration
avoid avoidance
pad padding
further furtherance
baffle mystification
hatch hatching
intercept interception
refer referee
bugger buggery
dawn dawning
advertise advertising
truck trucking
imitate imitation
strangle strangulation
ransack ransacking
block blockage
lubricate lubrication
camp camping
internationalize internationalization
relegate relegation
evaluate evaluation
stitch stitcher
goad goading
read reader
clear clearing
rebuild rebuilding
fire firing
trap trapper
imprison imprisonment
procure procurement
advise advisement
ease easement
refine refinery
realize realization
plot plotter
intoxicate intoxicant
anchor anchorage
sell selling
assume assumption
exchange exchanger
style stylist
interrupt interruption
invade invasion
register registry
speculate speculator
intimate intimation
forge forger
coast coaster
substitute substitution
tell teller
emphasize emphasis
deceive deception
profess profession
snap snapper
irrigate irrigation
ring ringing
kill killer
contain containment
tint tinting
command commandant
afflict affliction
clothe clothing
confront confrontation
twist twisting
achieve achievement
apologize apology
stun stunner
feel feelings
obstruct obstruction
deny denial
free freeing
bind binding
sit sitting
innovate innovator
slacken slackening
excise excision
complete completion
apprehend apprehension
win winnings
scavenge scavenger
time timer
zip zipper
wrangle wrangling
invent invention
comb combing
chastise chastisement
align alignment
import importing
possess possession
precede predecessor
thrust thruster
interrogate interrogation
defend defender
induce inducing
cite citation
smock smocking
interact interaction
clip clipping
inspire inspiration
lie liar
haul hauler
open opener
smuggle smuggling
identify identification
disintegrate disintegration
prick pricking
expire expiration
inhabit inhabitant
gather gathering
codify codification
shear shears
proceed proceeding
wave waving
ring ringer
access accession
foreshadow foreshadowing
inaugurate inauguration
consign consignment
inquire inquiring
stoke stoker
sob sobbing
argue argumentation
refine refinement
circumcise circumcision
survive survivor
evaluate value
conciliate conciliator
suspend suspender
reside residency
confess confession
struggle struggler
preempt preemption
tune tuner
hammer hammering
jest jester
reunite reunion
hit hitter
crush crushing
cough coughing
aggravate aggravation
graze grazing
litigate litigator
obey obedience
drift drifting
mediate mediation
oxidise oxide
entertain entertainer
encrypt encryption
create creature
deposit deposition
consult consultation
TEST
shuffle shuffling
pelt pelting
impersonate persona
conceal concealing
dream dreaming
replace replacement
subscribe subscriber
inflame inflaming
devise devising
skateboard skateboarding
merchandise merchandiser
denigrate denigration
speak speaker
crowd crowding
bind binder
suffer suffering
dwell dwelling
decelerate deceleration
defer deferral
fit fitter
sprawl sprawling
refocus refocusing
scoot scooter
anoint anointment
compete competitor
shave shaving
train training
implicate implication
convene convening
profane profanation
concoct concoction
spy spying
butt butter
revoke revocation
navigate navigation
expound expansion
relax relaxant
pronounce pronunciation
image imagery
persecute persecution
ranch ranching
monetize monetization
offer offeror
subside subsiding
absorb absorbent
fight fighting
categorize category
pose posing
combine combining
fry frying
settle settler
recalculate recalculation
characterize character
size sizing
show showing
pick pickings
oblige obligation
hunt hunter
greet greeting
despair desperation
pick picker
disown disowning
steer steerage
sting stinger
broker brokerage
pit pitting
shop shopper
abduct abduction
stonewall stonewalling
stone stoning
slip slippage
moisten moisture
steamroll steamroller
condense condensation
dare daring
fluctuate fluctuation
refer name
race racer
lag laggard
intern internment
thrust thrusting
lead leader
orchestrate orchestration
incubate incubation
investigate investigation
heckle heckler
reason reasoning
counsel counselor
flog flogging
kill killing
falsify falsity
forbid forbidding
extract extraction
rant ranting
smoke smoking
figure figuring
buzz buzzer
aggregate aggregator
inhibit inhibitor
connect connexion
assert assertion
electrocute electrocution
focus focusing
export exporting
incur incurring
supplement supplementation
stand standing
monopolize monopoly
end ending
belong belongings
usurp usurper
bind bindery
harass harassment
pirate piracy
perfect perfection
transplant transplanting
excavate excavation
judge judging
arrest arrester
cup cupping
infect infection
integrate integrator
repeat repetition
winnow winnowing
liberate liberty
bribe bribery
disgorge disgorgement
train trainer
subject subjection
attract attraction
qualify qualifying
avow avowal
divorce divorcee
eradicate eradication
beat beating
tamp tamper
shade shading
limit limitation
professionalize professionalization
spread spreading
post postage
acquire acquisition
decimate decimation
ratify ratification
weave weaving
falter faltering
starve starving
appear appearance
oppose opposition
page pager
stroke stroking
swerve swerving
harmonize harmony
place aim
file filer
grate grating
mediate mediator
pursue pursuance
smelt smelter
tickle tickling
seduce seduction
describe description
disillusion disillusionment
enforce enforcement
emigrate emigrant
extinguish extinction
reposition repositioning
manage manager
pollute pollutant
link linkage
certify certificate
mate mating
reevaluate reevaluation
march marcher
collect collector
raid raider
save savior
standardize standardization
program programing
reckon reckoning
pay payer
paint painter
roll rolling
lodge lodger
incarnate incarnation
bowl bowler
evict eviction
slack slacker
filter filtration
heave heaver
trick trickery
falsify falsification
distort distortion
lodge lodgings
speed speeding
persist persistency
serve server
move mover
discourage discouragement
image imaging
poison poisoning
arbitrage arbitrager
fashion fashioning
garden gardening
collaborate collaborator
join junction
degrade degradation
punt punting
hurdle hurdler
sustain sustenance
rid riddance
putt putter
estimate estimation
subscribe subscription
course coursing
displease displeasure
agree agreement
web webbing
receive reception
submit submission
stain stainer
encapsulate encapsulation
coax coaxing
depict depiction
pollinate pollen
manipulate manipulator
repair repairer
adapt adaption
account accountant
abate abatement
question questioner
predispose predisposition
think thinking
clinch clincher
enhance enhancement
insure insurer
conform conformance
deactivate deactivation
optimize optimization
sweeten sweetener
bury burial
calibrate calibration
smile smiling
sprout sprouting
congregate congregation
modernize modernization
retard retardation
resurrect resurrection
personify person
indict indictment
scrub scrubber
talk talker
originate origination
muffle muffler
transmit transmission
provoke provocation
dismantle dismantling
elude eluding
slay slaying
snort snorting
disburse disbursal
share sharing
shred shredder
watch watcher
flow flowing
edge edging
wed wedding
stretch stretcher
draw drawing
bathe bathing
merge merger
lease lessee
indent indenture
mountaineer mountaineering
stack stacker
test testing
implant implantation
deport deportment
entice enticement
rise rising
solicit solicitation
jut jutting
commercialize commercialization
manifest manifestation
clean cleaner
exploit exploitation
intervene intervention
broadcast broadcaster
bruise bruiser
mutiny mutineer
propagate propagation
subcontract subcontractor
nurse nursing
deploy deployment
implement implementation
part parting
die death
forsake forsaking
condition conditioner
exhaust depletion
mellow mellowing
impound impoundment
relieve reliever
drive driver
profess professing
meditate meditation
howl howler
vacillate vacillation
tremble trembling
finalize finalization
wage engagement
impress impression
saturate saturation
cover report
unify unification
compile compiler
devolve devolution
jostle jostling
identify identity
spin spinner
regress regression
dictate dictation
separate discrimination
pigment pigmentation
abduct abductor
haggle haggling
diagnose diagnosing
decorate decoration
optimize optimum
pay payment
