TRAINING
brawl brawler
evaluate evaluator
dwindle dwindling
computerize computerization
oppress oppressor
oblige obligation
recount recounting
hook hooker
etch etching
trick trickery
log logging
enjoin enjoining
laminate lamination
deflect deflection
sift sifting
disown disowning
disqualify disqualification
assure assurance
pave pavement
ripen ripening
shoot shooting
merge merging
vacillate vacillation
sparkle sparkler
train trainer
battle battler
beep beeper
squander squandering
bugger buggery
conspire conspirator
guzzle guzzling
erect erection
refresh refresher
convalesce convalescent
warm warmer
contend contender
drum drumming
revel revelry
transport transportation
revitalize revitalization
rear rearing
dodge dodger
solicit solicitor
tailor tailoring
orchestrate orchestration
inspect inspection
scheme schemer
darken darkening
found founder
expect expectancy
serve servant
hurdle hurdler
deflate deflation
speak speech
grin grinning
jog jogger
find finding
update updating
acclimate climate
excite excitement
heckle heckler
espouse espousal
manipulate manipulation
stimulate stimulation
compassionate compassion
denominate denomination
itemize item
invade invader
vanish vanishing
mark marking
manage manager
cover report
indicate indication
feed feeder
adjourn adjournment
beatify beatification
generate generation
liberate liberator
blackmail blackmailer
tap tapping
replenish replenishment
reimpose reimposition
sift sieve
flow flowing
remove removal
eradicate eradication
smuggle smuggler
allow allowance
schedule scheduler
segment segmentation
separate discrimination
offend offense
scream screaming
crawl crawling
cleanse cleanser
wail wailing
file filer
oxygenate oxygen
depreciate depreciation
mine miner
clinch clincher
resurge resurgence
cleave cleft
subside subsidence
glorify glorification
foreclose foreclosure
chastise chastisement
contract contracting
contaminate contamination
bet better
murder murderer
ignore ignorance
exhume exhumation
build builder
lever leverage
internationalize internationalization
rattle rattling
revalue revaluation
promote promotion
fit fitting
date dating
suspend suspension
configure configuration
issue issuer
mow mower
inoculate inoculation
discover discoverer
ruminate ruminant
fossilize fossil
kidnap kidnapper
locate locator
direct director
record recorder
undress strip
complicate complication
voyage voyager
disband disbandment
promulgate promulgation
entertain entertainer
tone toner
default defaulter
equate equation
disperse dispersion
clock clocking
relate relation
encase encasement
fester festering
refute refutation
reappear reappearance
lean leaner
cure curing
foster fostering
wreck wrecking
stand stance
hoax hoaxer
lie lying
remain remnant
moderate moderator
quantify quantification
reinstate reinstatement
deter deterrent
hide hiding
resist resistance
tighten tightening
set setting
officiate officiating
fill filling
uplift uplifting
vilify vilification
punt punting
bake baker
seize seizing
avow avowal
woo wooing
function functioning
motor motoring
revoke revocation
ventilate vent
run running
revolve roll
cow coward
aggregate aggregator
move mover
disarm disarming
heal healer
spoil spoiler
mystify puzzlement
fold folder
lodge lodging
shock shocker
immobilize immobilizing
arouse arousal
defer deferral
bank banker
reproduce reproduction
content contentment
reveal revelation
proliferate proliferation
lament lamentation
suck sucking
headline headliner
bombard bombardment
endorse endorser
post postage
emulate emulation
pretend pretender
riot rioting
shade shading
founder foundering
progress progression
spend spender
defoliate defoliant
parent parentage
dispute disputation
access accession
lag laggard
accumulate accumulation
desalinate desalination
construct construction
hop hopper
sense sensation
produce producer
dance dancer
try trial
shop shopping
salute pledge
point pointer
rectify rectification
enter entrant
accuse accuser
derive deriving
snort snorting
exert exertion
bicycle bicyclist
accelerate acceleration
agree agreement
disagree disagreement
retrain retraining
rewrite rewriting
optimize optimization
infiltrate infiltrator
mount mounting
despise despising
tell telling
collide collision
mine mining
determine determination
costume costumer
socialize socializing
pave paving
sustain sustenance
prosecute prosecution
struggle struggler
standardize standardization
incinerate incineration
extinguish extinguisher
drink drinking
celebrate celebration
forward forwarding
convey conveyance
cross crossing
ring ringer
jeer jeering
retrieve retriever
compound compounding
correlate correlation
abet abettor
quench quenching
resuscitate resuscitation
dismantle dismantlement
cluster clustering
compile compiler
tow tower
bargain bargaining
relive reliving
transpose transposition
conquer conqueror
embrace embracing
tame tamer
guarantee guarantor
squat squatter
shop shopper
vaccinate vaccine
intercept interceptor
provide provision
oust ouster
climb climbing
admit admittance
syndicate syndication
initiate initiator
persuade persuader
wade wading
place aim
delude delusion
mumble mumbling
flavor flavoring
populate population
survive survivor
lighter lighterage
evaporate vapor
designate designation
flap flapping
switch switching
compress compressing
diagnose diagnosing
conjure conjuring
extradite extradition
coast coaster
abdicate abdication
soak soaker
package packaging
attend attendant
transfer transference
toboggan tobogganing
underperform underperformer
cough coughing
ache aching
plumb plumbing
tear tearing
underestimate underestimation
opine opinion
calculate calculus
terminate terminus
enforce enforcer
qualify quality
publish publication
adhere adhesion
abduct abduction
reaffirm reaffirmation
chew chewing
remember remembrance
judge judgment
strip stripping
sheet sheeting
meet meeting
pronounce pronouncement
mingle mingling
circumcise circumcision
vacation vacationing
shed shedding
portray portrayal
shine shining
destroy destroyer
rent renting
collect collection
comply compliance
crack cracking
conjure conjurer
ship shipper
fail failing
accomplish accomplishment
brace bracing
free freeing
germinate germ
equate equator
alternate alternation
dissect dissection
miniaturize miniature
adjudicate judge
dispatch dispatcher
reduce reduction
recognize recognition
announce announcer
vaccinate vaccination
attain attainment
disable disablement
implant implantation
bruise bruiser
spin spinner
bid bidding
define defining
legislate legislation
improve improvement
implicate implication
invoke invocation
divert diversion
subside subsiding
sprout sprouting
crowd crowding
perpetuate perpetuation
find finder
interlock interlocking
accentuate accent
fascinate fascination
die death
called calling
fuel fueling
panel paneling
usurp usurper
touch touching
involve involvement
deprecate deprecation
vary variant
skate skater
vault vaulting
opt option
seduce seduction
carpenter carpentry
advise advisement
restrict restriction
lubricate lubricant
follow follower
feed feeding
time timing
decimate decimation
explore exploration
help helper
coat coating
beat bafflement
anchor anchorage
document documentary
manipulate manipulator
compact compaction
arrange arranger
radiate radiator
smooth smoother
stitch stitching
trust trustee
certify certification
soldier soldiering
sort sorting
result resultant
let lessor
warn warning
synthesize synthesizer
bifurcate fork
soften softening
sweat sweater
enroll enrollment
travel traveler
dive diver
sanctify saint
remarry remarriage
differentiate differentiation
legalize legalization
grumble grumbling
drug drugging
reassert reassertion
adapt adapter
portray portraitist
renovate renovation
compete competitor
oversimplify oversimplification
subscribe subscriber
ring ringing
bound boundary
invert inverter
perfume perfumery
marginalize marginalization
grow growth
pollinate pollination
deter deterrence
respect respecter
baffle mystery
offend offender
distribute distributor
preach preacher
slave slavery
buy buying
yell yelling
soak soaking
sink sinking
instruct instruction
wait waiter
quell quelling
detect detecting
condition conditioner
restate restatement
duplicate duplication
despair desperate
expel expulsion
adapt adaption
pigment pigmentation
rent renter
recommence recommencement
discontinue discontinuance
gather gathering
consult consultant
exercise exercising
recur recurrence
intern internment
talk talking
growl growling
erect erecting
enclose enclosing
machine machinist
germinate germination
tick ticker
mutate mutation
escape escapist
stay stayer
empty emptying
amaze amazement
overestimate overestimation
denude denudation
underpay underpayment
litigate litigant
tabulate tabulation
know knowing
moisten moisture
confirm confirmation
exclude exclusion
delineate delineation
tick ticking
evaporate evaporation
poke poker
smile smiling
grow growing
dream dreamer
dispense dispensation
copy copying
continue continuation
catalyze catalyst
drive driver
convoke convocation
reincarnate reincarnation
gravitate gravitation
control controller
assess assessment
shuffle shuffling
strain strainer
vouch voucher
screen screening
defer deference
syndicate syndicator
erode eroding
gloat gloating
immigrate immigration
heave heaving
assign assignation
retrench retrenchment
house housing
worry worrying
invest investor
specialize specialization
break breaker
classify classification
assemble assemblage
scrape scraping
tint tinting
travel traveling
trounce trouncing
photograph photographer
temper tempering
TUNING
inherit inheritance
quarter quartering
assign assignment
score scorer
convey conveyor
inquire inquiry
perform performing
support supporting
twist twister
hit hitter
kindle kindling
convey conveying
receive reception
seek seeking
officiate office
canal canalisation
encapsulate encapsulation
compare comparing
listen listening
bear bearer
resolve resolving
castrate castration
crystalize crystal
analyze analysis
suppose supposition
compare comparison
act action
succeed successor
present presenter
decode decoding
itch itching
fruit fruition
dawn dawning
terrorize terror
wage engagement
specify specification
sprinkle sprinkler
fabricate fabrication
hesitate hesitancy
immigrate immigrant
charm charmer
pronounce pronunciation
clown clowning
full fuller
whistle whistling
stagnate stagnation
facilitate facilitator
oversee overseer
regulate regulation
foot footer
litigate litigator
rehearse rehearsal
long longer
jewel jewelry
glamorize glamorization
stain staining
share sharing
inflict infliction
commercialize commercialization
occupy occupancy
raze razing
refine refining
cool coolant
bore borer
enhance enhancer
suffice sufficiency
model modeling
reclaim reclamation
lubricate lubrication
curl curling
distill distillate
extend extent
immobilize immobilization
rid riddance
falsify falsity
spy spying
rant ranting
overheat overheating
torment tormentor
refill refilling
tax taxation
butt butter
replicate replica
stretch stretcher
chant chanting
focus focussing
long longing
place placement
roast roaster
converse conversation
plaster plastering
stamp stamper
block blockage
postpone postponement
recycle recycling
entitle entitlement
promote promoter
dump dumping
activate activator
prosecute prosecutor
cover reportage
hawk hawker
commute commuter
administrate administrator
gyrate gyration
box boxing
collect collecting
pit pitting
encrypt encryption
campaign campaigner
deify deity
interconnect interconnection
extrapolate extrapolation
indemnify indemnity
unite union
mountaineer mountaineering
stalk stalking
dream dreaming
wreck wrecker
apportion apportionment
ape aper
expound expansion
shear shears
ferment fermenting
dilute dilution
eat eater
relegate relegation
detain detention
crack cracker
breed breeder
pant panting
elevate elevation
tour tourist
generalize generalization
snuggle snuggling
indulge indulgence
happen happening
solve solution
satisfy satisfaction
acquit acquittal
earn earnings
treat treatment
disinfect disinfection
index indexation
throb throbbing
preserve preservation
delegate delegation
exempt exemption
shake shaking
silence silencer
mix mixer
accept acceptance
commission commissioning
instrument instrumentation
demolish demolishing
diet dietary
vault vaulter
terminate finish
waste wasting
intercept interception
catch catcher
rehabilitate rehabilitation
advise adviser
walk walking
smash smashing
perform performance
relocate relocation
finalize finalization
drive drift
arm armament
propel propulsion
trample trampling
assail assailant
carbonate carbonation
persuade persuasion
subsist subsistence
cover covering
precede precedence
constrict constrictor
tamper tampering
explain explanation
expect expectation
decorate decor
tube tubing
utilize utilization
salve salvation
transmit transmittal
clap clapping
incubate incubation
replicate replication
fluctuate fluctuation
shadow shadowing
dry drier
solve solvent
snip snipping
mellow mellowing
ingest ingestion
tremble trembling
eject ejection
recuperate recuperation
sign signature
huff huffing
plot plotter
rise rising
sob sobbing
wound wounding
emphasize emphasis
paint painter
liberalize liberalization
reunify reunification
extinguish extinction
oppose opposition
advance advancement
publicize publicizing
propose proposer
proclaim proclamation
smell smelling
trim trimming
disgorge disgorgement
wrap wrapping
broker brokerage
sting stinger
fence fencing
act actor
negate negation
dance dancing
chase chaser
liberate liberty
fumigate fume
pare paring
select selection
speed speeding
evict eviction
scan scanner
rebel rebellion
retard retardation
alleviate alleviation
decide decision
enlist enlistment
infuse infusion
annul annulment
acquire acquirer
aspire aspiration
falter faltering
expel expelling
smart smarting
project projection
conciliate conciliator
bathe bathing
ferment fermentation
undervalue undervaluation
secrete secretion
print printer
dose dosage
reevaluate reevaluation
offer offeror
adapt adaptation
yawn yawner
urinate urine
furnish furnishing
disavow disavowal
gain gainer
mystify puzzle
kiss kissing
weaken weakening
weld welder
commemorate commemoration
sensitize sensitizer
curb check
convene convention
detect detector
grind grinding
harmonize harmony
prick pricking
contain containment
clean cleaner
land landing
season seasoning
cool cooling
sediment sedimentation
disapprove disapproval
idle idler
graze grazing
deceive deception
dare daring
loathe loathing
rebury reburial
hatch hatchery
enlist enlisting
dive diving
develop development
conduct conduction
condense condensation
disclaim disclaimer
cover reporting
relax relaxant
sing song
TEST
cook cooking
plunge plunger
examine examinee
shut shutter
crackle crackling
grill grilling
sense sensor
taste taster
swing swinging
receive recipient
pad padding
convalesce convalescence
time timer
retry retrial
accord accordance
provide provider
compose composure
appraise appraiser
farm farming
quack quackery
register registrant
create creation
enter entering
head heading
succeed succession
specialize specialist
pack packing
picture picturing
compress compression
object objection
disinvest disinvestment
predict predictor
impound impounding
flame flaming
dock dockage
deposit depositor
absorb absorption
sweep sweeper
inform information
make maker
ice icing
get getting
engineer engineering
classify class
obligate obligation
chop chopper
flip flipper
feast feasting
mean meaning
scatter scattering
dodge dodging
head header
float floating
order ordering
settle settlement
expend expenditure
maximize maximization
consign consignment
slide slider
pacify peace
incline inclination
relegate relegating
ground grounding
achieve achiever
dehydrate dehydration
demonstrate demonstration
juggle juggling
chill chilling
confide confidant
tank tankage
second secondment
crave craving
acquaint acquaintance
overpay overpayment
socialize socialization
impersonate impersonation
regenerate regeneration
taper tapering
abstract abstraction
substantiate substantiation
creep creeping
imitate imitation
recruit recruiter
design designer
nurse nursery
adjust adjustment
thwart thwarting
reverse reversal
discontinue discontinuation
declare declaration
propel propellor
overlap overlapping
require requisition
predominate predominance
nominate nomination
precipitate precipitator
intoxicate intoxicant
inflame inflammation
photocopy photocopier
disobey disobedience
induce induction
orphan orphanage
reduce reducing
orchestrate orchestrator
produce product
derail derailment
mug mugger
market marketer
dispossess dispossession
solidify solid
awaken awakening
commence commencement
cloud clouding
reinsure reinsurance
inform informant
suck suction
disenfranchise disenfranchisement
depopulate depopulation
quarry quarrying
arm armor
circulate circulation
pipe piping
keep keeping
abound abundance
unionize union
climb climber
clear clearance
carry carriage
borrow borrower
bumble bumbler
redevelop redevelopment
incinerate incinerator
motivate motivator
distill distillation
steam steamer
review reviewer
auction auctioneer
oscillate oscillation
explode explosion
hiss hissing
swell swelling
desert deserter
enclose enclosure
slack slacking
account accounting
trim trimmer
forge forgery
revise revising
wet wetting
overstate overstatement
shore shoring
apply applicant
dissolve dissolution
pet petting
propel propellant
overvalue overvaluation
define definition
govern governing
sound sounder
sever severing
stun stunner
constitute constituent
advise advisor
whirl whirling
liberate liberation
liquefy liquefaction
submerge submerging
pipe piper
vacate vacation
cheer cheering
back backer
emasculate emasculation
transship transshipment
push pusher
post poster
fish fishery
exploit exploiter
whip whipping
punctuate punctuation
learn learner
contribute contributor
disturb disturbance
abet abetment
amalgamate amalgam
transplant transplantation
recuse recusal
invite invitation
criminalize criminal
accede accession
compile compilation
dangle dangling
consider consideration
abstain abstinent
straggle straggler
cook cooker
scour scouring
care caring
bid bidder
follow following
motor motorist
fill filler
manage management
converge convergence
marry marriage
denounce denouncement
deviate deviant
knock knocker
surf surfing
plod plodding
style stylist
arraign arraignment
deport deportee
accompany accompaniment
descend descent
assassinate assassination
tempt temptation
maltreat maltreatment
assimilate assimilation
turn turning
attenuate attenuation
sympathize sympathy
elbow elbowing
load loader
dress dresser
grant grantor
gas gassing
envision envisioning
rearrange rearrangement
rush rusher
bloom bloomer
camp camper
receive receptor
commit committee
mutter muttering
escape escapee
dominate domination
approve approval
inaugurate inauguration
seep seepage
grow grower
stipulate stipulation
license licenser
begin beginner
tease teasing
circulate circular
dribble dribbling
vibrate vibration
trap trapper
tutor tutelage
fly flier
interrogate interrogation
fortify fort
mix mixture
iron ironing
deride derision
scale scaling
mobilize mobilization
cry crying
raise raiser
portray portrait
include inclusion
compensate compensation
consist consistence
hurt hurting
solve solver
command commandment
subdivide subdivision
sing singer
integrate integral
give giving
plan planning
loot looting
disrupt disruption
cruise cruiser
supervise supervision
survey surveying
institute institution
jam jamming
seat seating
convene convener
deal dealing
taste tasting
arbitrate arbitration
reexamine reexamination
cobble cobbling
refer referee
redistribute redistribution
wave waver
require requirement
transfer transferral
patronize patron
daub daubing
toy toying
irritate irritation
absent absentee
speak speaking
jeopardize jeopardy
oxidise oxide
kneel kneeling
pillage pillaging
speculate speculator
see seer
freight freighter
illustrate illustration
refer reference
depose deposition
frighten frightening
cannibalize cannibal
dig digging
believe belief
block blocking
can cannery
throttle throttling
fence fencer
field fielding
discount discounter
dampen dampening
scoff scoffing
depict depicting
readmit readmission
coincide coincidence
devastate devastation
urge urging
depart departure
equip equipping
prioritize priority
parole parolee
open opening
examine examiner
dissipate dissipation
defect defector
eavesdrop eavesdropper
gamble gambling
