TRAINING
accomplish accomplishment
reintroduce reintroduction
unify unit
haul hauling
disrupt disruption
reshuffle reshuffling
hijack hijacking
encase encasement
bust buster
signal signaling
breathe breather
eradicate eradication
subordinate subordination
prostrate prostration
espouse espousal
arbitrate arbitrator
acquaint acquaintance
twitch twitching
personify persona
double doubling
alter alteration
fit fitting
constrict constrictor
conduct conduction
meet meeting
invest investor
throb throbbing
go goer
scout scouting
run runner
inflame inflaming
overlap overlapping
tabulate tabulation
melt melting
gyrate gyration
substitute substituting
scatter scattering
intern internment
rediscover rediscovery
pace pacing
roar roaring
simulate simulator
sing singer
stall stalling
ventilate ventilation
intensify intensification
provoke provocation
repulse drive
pacify peace
buff buffer
parent parentage
fabricate fabricator
portray portraitist
condemn condemnation
swing swinging
forsake forsaking
dominate domination
dismantle dismantling
decide deciding
darken darkening
whir whirring
mean meaning
disobey disobedience
racketeer racketeering
space spacing
tack tacking
juggle juggling
steal stealing
stain staining
tremble trembling
incur incurring
transmit transmitting
press pressing
lean leaner
repulse repulsion
elect elector
disappear disappearing
sheet sheeting
terrify terror
impeach impeachment
highlight highlighting
forge forgery
toy toying
consist consistence
salve salvage
lease lessee
litigate litigation
assign assignment
garden gardening
scaffold scaffolding
oblige obligation
connive connivance
marry married
track tracking
extract expression
equip equipping
develop developer
flame flaming
duck ducking
confer conference
soak soaker
restore restoration
disperse dispersion
abhor abhorrence
combine combination
reveal revelation
equate equal
prevail prevalence
jump jumping
propel propulsion
emasculate emasculation
honor honoring
suffer sufferer
persist persistence
present presenter
observe observation
screen screener
process processing
rule ruler
immerse immersion
grasp grasping
shed shedding
raid raider
decay decadent
kneel kneeling
connect connector
trump trumping
stop stoppage
abstract abstraction
misappropriate misappropriation
mingle mingling
subsist subsistence
concoct concoction
keep keeping
corroborate corroboration
moisten moisture
filter filtration
flirt flirtation
game gaming
beatify beatification
advocate advocacy
differentiate differentiation
conceal concealment
respond respondent
quiver quivering
electrify electrification
forfeit forfeiture
finish finisher
stock stocking
prevent prevention
calibrate caliber
sting stinging
readjust readjustment
perform performing
play playing
chop chopper
withdraw withdrawal
pose posing
confiscate confiscation
pair pairing
differ difference
hear hearing
revive revival
mend mending
militarize military
trick trickery
connect connection
adopt adoption
butt butter
pronounce pronunciation
moderate moderator
overstate overstatement
marginalize marginalization
mutate mutation
quantify quantification
substantiate substantiation
falsify falsification
cede cession
abstain abstinent
supervise supervision
simmer simmering
race racer
abolish abolishment
obsess obsession
chicane chicanery
read reading
reinterpret reinterpretation
restrain restraint
reunify reunion
continue continuation
impart imparting
stimulate stimulation
ape aper
exemplify example
dismember dismemberment
ache aching
pipe piper
recuse recusal
heat heating
beat beater
back backing
bound boundary
publicize publicist
brew brewer
intersect intersection
injure injury
assimilate assimilation
congratulate congratulation
define definition
necessitate necessity
thwart thwarting
open opening
reminisce reminiscence
measure measuring
raise raising
overproduce overproduction
ventilate ventilator
fuse fusion
tune tuning
disappear disappearance
appeal appellant
correspond correspondence
pare paring
undervalue undervaluation
tap tapper
lie lying
sit sitter
audit auditor
reelect reelection
invert inversion
dirty dirtying
bat batter
spoil spoiling
explore exploration
ooze oozing
press pressure
skip colloquialism
shrink shrinkage
stand standing
bid bidding
bank banking
visit visitor
perform performance
slug slugger
proliferate proliferation
examine examination
qualify qualifier
capitalize capitalization
etch etching
communicate communicator
frighten frightening
chatter chattering
tamper tampering
designate designation
offer offeror
depict picture
wreck wreckage
speak speech
void voiding
abuse abuser
innovate innovation
acknowledge acknowledgment
date dating
map mapping
pray prayer
prepare preparation
procure procurer
enjoin injunction
estimate estimator
pressurize pressure
tank tankage
smooth smoother
score scoring
extract extractor
cater caterer
top topper
compress compression
distort distortion
coexist coexistence
rant ranting
emulate emulator
shock shocker
socialize socialization
conceive concept
tour tourist
teach teaching
shred shredder
cook cooking
supervise supervisor
impede impediment
whirl whirling
devastate devastation
reevaluate reevaluation
concur concurrence
move mover
accede accession
haggle haggling
permit permission
converge convergence
sustain sustenance
convene convener
belong belongings
wash washing
illuminate illumination
characterize characterization
insulate insulation
decompose decomposition
sift sieve
face facing
reason reasoning
amalgamate amalgam
course coursing
impound impoundment
fence fencing
dedicate dedication
heave heaving
signify significance
confuse confusion
curb check
remain continuation
broadcast broadcaster
heckle heckling
produce production
assure assurance
group grouping
punch puncher
treat treatment
concentrate concentration
sedate sedation
withhold withholding
experiment experimentation
clip clipper
worry worrying
arraign arraignment
accommodate accommodation
prescribe prescription
break breaker
pursue pursuit
market marketer
mystify puzzle
incorporate incorporation
evolve evolution
retain retention
moderate moderation
liquidate liquidation
plunder plundering
vibrate vibration
let letter
weave weaver
bathe bathing
mediate mediator
inherit inheritance
diversify diversification
portray portrait
discourage discouragement
throw thrower
descend descent
announce announcer
persecute persecution
instigate instigation
golf golfing
putt putting
help helping
hang hanger
gravitate gravitation
outfit outfitting
trim trimming
maximize maximization
portend portent
dock docking
guess guessing
supply supplier
converse conversation
admonish admonition
weigh weighing
bear bearer
bellow bellowing
infiltrate infiltrator
derail derailment
unfold unfolding
mill milling
commit commission
scream screamer
infringe infringement
solidify solid
convict conviction
extinguish extinguisher
dangle dangling
hit hitting
tease teasing
shave shaving
send sending
heat heater
relinquish relinquishing
invent inventor
interpret interpreter
weep weeping
inactivate inactivation
lighter lighterage
send sender
bleed bleeding
represent representation
contradict contradiction
rent rental
reassess reassessment
signify sign
flee flight
flavor flavoring
limit limiter
deport deportment
trek trekker
attend attendant
enter entry
finalize finalization
carbonate carbon
obliterate obliteration
dose dosage
fork forking
spend spender
compare comparing
sue suit
hike hiker
counsel counselor
circumvent circumvention
type typing
lend lender
estimate estimation
joke joker
collaborate collaborator
support supporter
quote quotation
legislate legislator
learn learner
depopulate depopulation
oust ousting
segregate segregation
fly flying
vomit vomiting
precede precedence
impose imposition
school schooling
console consolation
magnify magnification
discontinue discontinuance
point pointer
escalate escalation
explode explosion
wither withering
refresh refresher
flirt flirting
excel excellence
indulge indulgence
field fielding
blow blowing
accord accordance
give giver
trail trailing
cross crossing
reside residence
erode erosion
decompress decompression
preserve preserver
tie tying
view viewer
recite recitation
anticipate foreboding
vary variation
commune communion
recur recurrence
purify purification
erect erecting
pay payer
improve improvement
underpay underpayment
prohibit prohibition
redevelop redevelopment
remit remittance
tax taxation
chant chanting
absent absentee
contaminate contaminant
focus focusing
renounce renunciation
deposit depositor
hesitate hesitation
refurbish refurbishment
optimize optimization
immobilize immobilization
stamp stamper
lug luggage
kick kicker
parole parolee
convert conversion
emit emission
till tiller
wean weaning
addict addiction
identify identity
renovate renovation
sprinkle sprinkling
immobilize immobilizing
submerge submersion
shun shunning
evaluate evaluator
settle settlement
enjoin enjoining
exclaim exclaiming
crow crowing
soak soaking
mix mixing
analyze analyzer
sub subbing
tolerate tolerance
miscalculate miscalculation
cheat cheating
apply application
organize organization
indicate indication
abate abatement
inscribe inscription
photograph photographer
continue continuance
absolve absolution
refresh refreshment
war warrior
incline inclination
polish polisher
persuade persuasion
exercise exercising
roast roasting
bore borer
solder soldering
fashion fashioning
fortify fort
adjudicate judge
receive recipient
mine mining
lodge lodgings
acclimate climate
lobby lobbyist
invest investment
round rounder
resign resignation
cruise cruiser
tip tipper
stabilize stabilizer
compress compressor
touch touching
clarify clarification
promulgate promulgation
dissolve dissolution
confide confidence
impersonate persona
claim claimant
enrich enrichment
apportion apportionment
TUNING
enhance enhancer
see seer
cleave cleft
mark marker
ranch rancher
temper temperance
complain complaint
extradite extradition
paper papering
mystify puzzlement
get getting
jog jogging
remain remainder
invalidate invalidation
augment augmentation
elaborate elaboration
introduce introduction
reposition repositioning
adapt adaption
teach teacher
fill filler
damp damper
care caring
finish finishing
disturb disturbance
commentate comment
coat coating
speak speaker
tabulate table
skip skipper
examine examiner
encroach encroachment
oxygenate oxygenation
wrap wrapping
quantify quantity
solo soloist
test tester
own owner
gossip gossiping
notify notification
try trial
instruct instruction
shorten shortening
bound bounder
synchronize synchronization
comprehend comprehension
land landing
incriminate crime
rotate rotation
consist consistency
subsidize subsidization
orchestrate orchestrator
deflate deflation
bake baking
bloom bloomer
enlist enlistment
dispense dispensary
manage management
project projector
digitize digit
oust ouster
authorize authorization
swab swabbing
adapt adaptation
impound impounding
furnish furniture
retry retrial
snip snipping
interrogate interrogator
wail wailing
breed breeding
incubate incubation
mow mower
down downer
pave pavement
misstate misstatement
correspond correspondent
sense sensation
administer administration
interlock interlocking
immigrate immigration
mistake mistaking
repeat repetition
swear swearing
preoccupy preoccupation
cook cooker
yawn yawning
disband disbandment
inflame inflammation
despair desperation
radiate radiator
arouse arousal
hiss hissing
rustle rustling
distribute distribution
grind grinding
conduct conducting
matriculate matriculation
founder foundering
waste wasting
pollinate pollen
forbid forbidding
mobilize mobilization
progress progression
undress strip
freelance freelancer
discriminate discrimination
crackle crackling
end ending
provide provider
index indexing
railroad railroading
sound sounder
join joining
forestall forestalling
retake retaking
fabricate fabrication
study studying
count counting
captivate captive
collaborate collaboration
adjourn adjournment
proceed procession
participate participant
reconsider reconsideration
vacation vacationing
elect election
puzzle puzzlement
differentiate difference
scrub scrubber
lever leverage
strike striker
waterproof waterproofing
compile compilation
scan scanning
inspect inspection
relax relaxation
smuggle smuggler
scrape scraping
weld welder
suspend suspension
convey conveyance
qualify qualifying
enter entering
isolate isolation
select selector
demonstrate demonstration
avoid avoidance
pad padding
further furtherance
baffle mystification
hatch hatching
intercept interception
refer referee
bugger buggery
dawn dawning
advertise advertising
truck trucking
imitate imitation
strangle strangulation
speed speeding
block blockage
lubricate lubrication
wage engagement
internationalize internationalization
relegate relegation
evaluate evaluation
stitch stitcher
goad goading
read reader
clear clearing
rebuild rebuilding
fire firing
trap trapper
imprison imprisonment
procure procurement
advise advisement
vacillate vacillation
refine refinery
realize realization
plot plotter
intoxicate intoxicant
anchor anchorage
sell selling
assume assumption
exchange exchanger
style stylist
interrupt interruption
invade invasion
register registry
speculate speculator
intimate intimation
forge forger
unify unification
substitute substitution
tell teller
emphasize emphasis
deceive deception
profess profession
snap snapper
irrigate irrigation
ring ringing
kill killer
contain containment
tint tinting
command commandant
afflict affliction
clothe clothing
confront confrontation
twist twisting
achieve achievement
apologize apology
stun stunner
feel feelings
obstruct obstruction
deny denial
free freeing
bind binding
sit sitting
innovate innovator
slacken slackening
excise excision
complete completion
apprehend apprehension
win winnings
scavenge scavenger
time timer
falsify falsity
wrangle wrangling
invent invention
place aim
chastise chastisement
align alignment
import importing
possess possession
precede predecessor
excavate excavation
interrogate interrogation
propagate propagation
indict indictment
cite citation
smock smocking
interact interaction
clip clipping
inspire inspiration
falter faltering
haul hauler
program programing
transmit transmission
identify identification
disintegrate disintegration
prick pricking
expire expiration
inhabit inhabitant
gather gathering
codify codification
shear shears
proceed proceeding
wave waving
ring ringer
access accession
foreshadow foreshadowing
inaugurate inauguration
consign consignment
inquire inquiring
stoke stoker
implicate implication
argue argumentation
refine refinement
circumcise circumcision
survive survivor
evaluate value
conciliate conciliator
suspend suspender
reside residency
confess confession
struggle struggler
preempt preemption
tune tuner
draw drawing
jest jester
reunite reunion
hit hitter
crush crushing
cough coughing
aggravate aggravation
graze grazing
disown disowning
obey obedience
drift drifting
mediate mediation
oxidise oxide
entertain entertainer
encrypt encryption
create creature
deposit deposition
submit submission
TEST
motorcycle motorcycling
laminate lamination
shake shaking
delineate delineation
commit committal
sterilize sterilization
record recording
stalk stalking
enlarge enlargement
quarter quarters
affirm affirmation
blend blender
strew strewing
shield shielding
hide hiding
revolutionize revolution
remind reminder
fund funding
admire admirer
drum drumming
position positioning
reprint reprinting
separate separation
administrate administrator
pretend pretending
commemorate commemoration
remove removal
sob sobbing
meddle meddling
close closure
turn turner
hesitate hesitancy
merchandise merchandising
hook hooker
retail retailing
disclose disclosure
liquidate liquidator
condition conditioning
navigate navigator
evaporate vapor
abet abettor
culminate culmination
start starting
eject ejection
smart smarting
cohabit cohabitation
disqualify disqualification
drink drinking
sculpt sculptor
bulldoze bulldozer
mix mixer
copy copying
mail mailer
sever severance
boost booster
shift shifting
enter entree
park parking
know knowing
publish publishing
cartoon cartoonist
litigate litigator
distribute distributor
ferry ferrying
collude collusion
judge judgment
soar soaring
serve servant
eject ejector
emphasize emphasizing
fail failure
preach preaching
reduce reduction
subjugate subjugation
rejuvenate rejuvenation
plaster plastering
accredit accreditation
spin spinning
warehouse warehousing
dump dumping
contaminate contamination
consume consumption
dance dancer
delete deletion
visit visiting
specialize specialization
restrict restriction
preside president
lose loser
jab jabbing
zip zipper
presuppose presupposition
lament lamentation
congregate congregating
endorse endorsement
authenticate authentication
normalize normalization
race racing
refute refutation
pull pulling
find finder
deteriorate deterioration
invoke invocation
swim swimmer
divide divider
dodge dodger
seize seizing
drink drinker
assess assessor
intercede intercession
propel propeller
prosecute prosecution
reinforce reinforcement
squat squatter
ordain ordinance
follow follower
thrust thruster
note notation
spray spraying
divide division
reform reformist
bounce bouncer
bear bearing
derogate derogation
ease easing
forest forestry
forge forging
protect protection
violate violator
pound pounding
trace tracer
clap clapping
forage foraging
opt option
utilize utility
howl howling
knit knitting
urinate urination
indulge indulging
reimburse reimbursement
oversimplify oversimplification
coalesce coalition
disarm disarming
complain complainant
moderate curb
lie liar
dominate dominion
celebrate celebrant
conspire conspirator
proclaim proclamation
extinguish extinguishing
scan scanner
sink sinking
comb combing
wound wounding
consummate consummation
denude denudation
precipitate precipitation
import importation
puff puffing
clean cleaning
condense condenser
select selection
tend tendency
truck trucker
celebrate celebration
erupt eruption
suck sucker
regulate regulator
balloon balloonist
accelerate accelerator
defer deferment
ruin ruining
score scorer
diagnose diagnosis
lay layer
intend intention
cool coolant
open opener
shut shutting
attain attainment
boat boating
pilot piloting
endure endurance
demarcate demarcation
incite incitement
dissect dissection
foreclose foreclosure
mutilate mutilation
type typist
contract contractor
tow towage
create creator
testify testimony
ransack ransacking
officiate officiating
grin grinning
gather gatherer
admit admittance
salve salvation
wet wetter
angle angler
abdicate abdication
breathe breathing
stay stayer
retrieve retriever
convey conveyor
sweat sweater
squander squandering
accrue accrual
secede secession
content contentment
perceive perception
die dying
participate participation
assemble assemblage
deport deportation
exacerbate exacerbation
come coming
consult consultation
book booking
defy defiance
flood flooding
measure measurement
full fuller
prevaricate prevarication
vary variant
make making
waste wastage
slow slowing
screen screening
arrange arranger
win winner
golf golfer
finger fingering
investigate investigator
persevere perseverance
rent renter
transit transition
cool cooling
occupy occupier
commentate commentator
vary variance
rule ruling
irradiate irradiation
sleep sleeping
service servicing
peddle peddling
infer inference
induce inducing
retrain retraining
urge urgency
inflict infliction
legitimate legitimacy
smuggle smuggling
dignify dignity
deprecate deprecation
desert desertion
crush crusher
plant planting
break breakage
calculate calculus
field fielder
support supporting
redeem redemption
annoy annoyance
poach poaching
yearn yearning
hammer hammering
negotiate negotiator
result resultant
proceed proceedings
purify purifier
bat batting
port porter
sign signature
costume costumer
suspect suspicion
counteract counteraction
creak creaking
distinguish distinction
ramp rampage
start starter
overreact overreaction
jail jailer
detain detainee
dispatch dispatcher
repel repellent
adventure adventurer
master mastery
defend defender
itch itching
idle idling
liberalize liberalization
generalize generalization
extrapolate extrapolation
mail mailing
reserve reservation
found founder
supply supplying
quench quenching
dub dubbing
expel expelling
starve starvation
play player
doubt doubter
coerce coercion
ease easement
admire admiration
resemble resemblance
camp camping
codify code
ship shipping
charm charmer
coast coaster
smack smacking
burn burner
canal canalisation
earn earner
reaffirm reaffirmation
inhibit inhibition
supervise supervising
inter interment
absent absence
itemize item
simulate simulation
alleviate alleviation
propose proposal
program programmer
admit admission
